observation_date,DRSFRMACBS_PCH
1991-04-01,2.91262
1991-07-01,1.57233
1991-10-01,1.54799
1992-01-01,-4.87805
1992-04-01,-1.92308
1992-07-01,-5.88235
1992-10-01,-3.12500
1993-01-01,-0.35842
1993-04-01,-3.95683
1993-07-01,-2.99625
1993-10-01,-5.79151
1994-01-01,-2.04918
1994-04-01,-5.43933
1994-07-01,-4.42478
1994-10-01,-4.62963
1995-01-01,0.97087
1995-04-01,1.44231
1995-07-01,2.36967
1995-10-01,0.46296
1996-01-01,0.46083
1996-04-01,3.66972
1996-07-01,-0.88496
1996-10-01,4.01786
1997-01-01,-1.28755
1997-04-01,-0.86957
1997-07-01,-0.87719
1997-10-01,-2.65487
1998-01-01,0.00000
1998-04-01,-3.18182
1998-07-01,-1.87793
1998-10-01,-2.87081
1999-01-01,-4.43350
1999-04-01,-3.09278
1999-07-01,14.36170
1999-10-01,-7.44186
2000-01-01,-2.01005
2000-04-01,1.53846
2000-07-01,5.55556
2000-10-01,6.69856
2001-01-01,4.93274
2001-04-01,2.99145
2001-07-01,-9.12863
2001-10-01,3.19635
2002-01-01,-0.88496
2002-04-01,-3.57143
2002-07-01,-2.77778
2002-10-01,-4.76190
2003-01-01,-1.50000
2003-04-01,-7.10660
2003-07-01,-5.46448
2003-10-01,1.73410
2004-01-01,-6.25000
2004-04-01,-3.03030
2004-07-01,-2.50000
2004-10-01,-9.61538
2005-01-01,0.70922
2005-04-01,9.15493
2005-07-01,2.58065
2005-10-01,3.14465
2006-01-01,-1.82927
2006-04-01,0.62112
2006-07-01,7.40741
2006-10-01,10.34483
2007-01-01,8.33333
2007-04-01,10.09615
2007-07-01,18.77729
2007-10-01,13.97059
2008-01-01,18.70968
2008-04-01,18.47826
2008-07-01,21.10092
2008-10-01,24.62121
2009-01-01,21.73252
2009-04-01,6.99126
2009-07-01,10.50175
2009-10-01,9.82049
2010-01-01,10.48077
2010-04-01,-3.56832
2010-07-01,-3.88087
2010-10-01,-3.09859
2011-01-01,0.48450
2011-04-01,1.73578
2011-07-01,-0.47393
2011-10-01,-2.38095
2012-01-01,0.78049
2012-04-01,1.16167
2012-07-01,0.28708
2012-10-01,-4.29389
2013-01-01,-2.99103
2013-04-01,-4.21377
2013-07-01,-7.08155
2013-10-01,-4.27252
2014-01-01,-6.27262
2014-04-01,-4.37580
2014-07-01,-4.97981
2014-10-01,-7.93201
2015-01-01,-4.00000
2015-04-01,-6.73077
2015-07-01,-7.38832
2015-10-01,-5.19481
2016-01-01,-6.26223
2016-04-01,-4.38413
2016-07-01,-4.36681
2016-10-01,-5.47945
2017-01-01,-5.55556
2017-04-01,-5.88235
2017-07-01,-1.08696
2017-10-01,-1.92308
2018-01-01,-2.52101
2018-04-01,-7.47126
2018-07-01,-7.14286
2018-10-01,-5.35117
2019-01-01,-4.94700
