observation_date,MORTGAGE30US_PCH
1991-04-01,0.22670
1991-07-01,-2.61734
1991-10-01,-6.28785
1992-01-01,-0.01770
1992-04-01,-0.12395
1992-07-01,-7.60571
1992-10-01,2.17582
1993-01-01,-5.72267
1993-04-01,-3.49922
1993-07-01,-4.90247
1993-10-01,-0.58219
1994-01-01,3.53945
1994-04-01,15.51377
1994-07-01,1.97674
1994-10-01,5.94696
1995-01-01,-3.51440
1995-04-01,-9.87654
1995-07-01,-2.79802
1995-10-01,-4.63768
1996-01-01,-0.91185
1996-04-01,11.41316
1996-07-01,0.55065
1996-10-01,-5.44802
1997-01-01,1.16836
1997-04-01,1.71750
1997-07-01,-5.76419
1997-10-01,-3.54237
1998-01-01,-2.15651
1998-04-01,0.67649
1998-07-01,-3.17546
1998-10-01,-1.57184
1999-01-01,1.67371
1999-04-01,4.42077
1999-07-01,8.41902
1999-10-01,0.70074
2000-01-01,5.30830
2000-04-01,0.71735
2000-07-01,-3.56119
2000-10-01,-4.97794
2001-01-01,-8.05491
2001-04-01,1.75650
2001-07-01,-2.33035
2001-10-01,-2.77256
2002-01-01,2.96524
2002-04-01,-2.27298
2002-07-01,-7.68883
2002-10-01,-3.40020
2003-01-01,-3.86174
2003-04-01,-5.71579
2003-07-01,9.56838
2003-10-01,-1.89863
2004-01-01,-5.43623
2004-04-01,9.08716
2004-07-01,-3.46975
2004-10-01,-2.68280
2005-01-01,0.56323
2005-04-01,-1.04014
2005-07-01,0.97022
2005-10-01,8.02082
2006-01-01,0.33358
2006-04-01,5.68895
2006-07-01,-0.64080
2006-10-01,-4.81942
2007-01-01,-0.46815
2007-04-01,2.31464
2007-07-01,3.03654
2007-10-01,-4.99002
2008-01-01,-5.65991
2008-04-01,3.65470
2008-07-01,3.86705
2008-10-01,-7.60607
2009-01-01,-13.37735
2009-04-01,-0.94254
2009-07-01,2.99263
2009-10-01,-4.65228
2010-01-01,1.49712
2010-04-01,-1.47174
2010-07-01,-9.65329
2010-10-01,-0.24710
2011-01-01,9.25958
2011-04-01,-4.04698
2011-07-01,-7.72412
2011-10-01,-6.73956
2012-01-01,-1.99885
2012-04-01,-3.25554
2012-07-01,-6.34502
2012-10-01,-5.47619
2013-01-01,4.09892
2013-04-01,5.01540
2013-07-01,20.90490
2013-10-01,-3.30908
2014-01-01,1.66637
2014-04-01,-3.13712
2014-07-01,-2.18341
2014-10-01,-4.15471
2015-01-01,-6.22935
2015-04-01,2.75957
2015-07-01,3.54481
2015-10-01,-1.43524
2016-01-01,-4.08931
2016-04-01,-3.99177
2016-07-01,-3.98628
2016-10-01,11.49554
2017-01-01,8.60861
2017-04-01,-4.62673
2017-07-01,-2.41593
2017-10-01,0.99030
2018-01-01,9.17827
2018-04-01,6.12538
2018-07-01,0.49086
2018-10-01,4.76672
2019-01-01,-8.58521
