observation_date,NASDAQCOM_PCH
1991-04-01,15.22845
1991-07-01,2.98715
1991-10-01,5.71077
1992-01-01,15.98114
1992-04-01,-7.27730
1992-07-01,-0.69431
1992-10-01,9.22300
1993-01-01,9.62763
1993-04-01,-0.47459
1993-07-01,6.19820
1993-10-01,5.68589
1994-01-01,2.74925
1994-04-01,-7.56838
1994-07-01,1.59811
1994-10-01,1.82088
1995-01-01,4.15139
1995-04-01,10.41902
1995-07-01,17.05305
1995-10-01,2.47438
1996-01-01,3.00828
1996-04-01,11.02323
1996-07-01,-3.92582
1996-10-01,10.55949
1997-01-01,5.14657
1997-04-01,0.42009
1997-07-01,19.77639
1997-10-01,1.47429
1998-01-01,4.50318
1998-04-01,8.04684
1998-07-01,-1.56772
1998-10-01,3.26250
1999-01-01,27.59460
1999-04-01,6.49032
1999-07-01,8.13133
1999-10-01,19.79326
2000-01-01,35.43508
2000-04-01,-15.37205
2000-07-01,4.96288
2000-10-01,-23.05447
2001-01-01,-22.16775
2001-04-01,-11.71281
2001-07-01,-9.78125
2001-10-01,-2.62687
2002-01-01,3.05800
2002-04-01,-12.58821
2002-07-01,-20.40539
2002-10-01,2.43329
2003-01-01,0.75041
2003-04-01,12.60294
2003-07-01,15.97238
2003-10-01,9.42811
2004-01-01,5.50785
2004-04-01,-2.63375
2004-07-01,-5.65745
2004-10-01,9.58470
2005-01-01,0.15820
2005-04-01,-2.03348
2005-07-01,6.77332
2005-10-01,1.35485
2006-01-01,5.05266
2006-04-01,-2.31632
2006-07-01,-4.24731
2006-10-01,11.57622
2007-01-01,2.26931
2007-04-01,4.52380
2007-07-01,2.08764
2007-10-01,3.76002
2008-01-01,-13.69364
2008-04-01,3.90039
2008-07-01,-5.54708
2008-10-01,-29.96628
2009-01-01,-7.53938
2009-04-01,16.82753
2009-07-01,14.45464
2009-10-01,9.04503
2010-01-01,5.43885
2010-04-01,2.69717
2010-07-01,-4.46642
2010-10-01,13.34880
2011-01-01,8.01573
2011-04-01,0.93021
2011-07-01,-5.72410
2011-10-01,-0.21953
2012-01-01,11.77565
2012-04-01,0.66373
2012-07-01,3.41954
2012-10-01,-0.82272
2013-01-01,5.82080
2013-04-01,6.03319
2013-07-01,8.10218
2013-10-01,8.68415
2014-01-01,6.40191
2014-04-01,-0.34672
2014-07-01,6.83865
2014-10-01,2.63668
2015-01-01,4.87565
2015-04-01,4.24646
2015-07-01,-2.10409
2015-10-01,1.49889
2016-01-01,-7.68161
2016-04-01,5.01738
2016-07-01,6.66933
2016-10-01,2.72788
2017-01-01,8.03090
2017-04-01,6.26045
2017-07-01,4.06350
2017-10-01,6.54645
2018-01-01,7.33117
2018-04-01,1.40740
2018-07-01,7.05060
2018-10-01,-8.37458
2019-01-01,1.78109
